group,hemo,pelle,relish,abae,defen,hym,apid,detox1,detox2
T7,17.1,1.11,0.08,0.14,0.02,0.02,0.2,6.06,0.9
T7,0.36,0.03,0.05,0.04,0.01,0.01,0.02,3.5,0.44
T7,0.46,0.29,0.31,0.07,0.01,0.01,0.03,14.39,0.37
T7,1.24,0,0.02,0.02,0,0,0,0.76,0.09
T7,0.66,0.1,0.06,0.64,0.1,0.03,0.06,1.08,0.13
T7,0.29,0,0.02,0.06,0.04,0.01,0.08,0.92,0.12
T7,0.24,0.01,0.01,0.03,0.23,0.01,0.06,0.47,0.09
T7,0.13,0,0.03,0.27,0.09,0.02,0.08,0.68,0.11
T7,0.75,0.03,0.22,0.12,0.03,0.03,1.09,14.08,2.78
T7,0.33,0,0.03,0.24,0.01,0,0.16,2.04,0.54
T3,2.01,0.06,0.18,0.2,0.41,0.01,0.06,0.41,1.6
T3,0.7,0.05,0.23,0.03,0.01,0.01,0.01,0.26,0.1
T3,1.93,0.06,0.15,0.12,0.07,0.02,0.05,1.44,3.64
T3,2.83,0.1,0.31,0.86,0.19,0.09,0.43,1.15,1.87
T3,7.41,0.07,0.1,0.21,0.22,1.66,0.36,1.27,1.34
T3,8.75,0.02,0.07,1.11,0.22,0.04,0.15,1.64,3.72
T3,7.35,0.02,0.15,1.06,0.29,0.05,0.42,2.74,4.04
T3,1.85,0.01,0.05,0.36,0.28,0.02,0.19,0.84,0.64
T3,7.08,0.07,0.11,0.1,0.47,0.04,0.94,1.35,3.03
T3,3.27,0.02,0.09,0.32,0.08,0.01,11.04,0.5,0.03
T4,2.4,0.13,0.22,0.24,0.22,0.12,1.39,9.42,7.47
T4,1.5,0.11,0.05,0.15,0.06,0.04,0.94,1.72,2.05
T4,1.15,0.26,0.09,0.06,0.05,0,0.61,1.41,1.47
T4,1.78,0.42,0.03,0.07,0.03,0,0.09,0.64,1
T4,2.74,0.01,0.12,0.04,0.1,0.02,0.17,3.02,1.46
T4,2.11,0.01,0.14,0.06,0.11,0.02,0.17,1.92,1.94
T4,1.98,0.03,0.17,0.18,0.07,0.03,0.2,2.6,2.29
T4,9.35,0.16,0.2,0.27,0.56,0.08,0.33,7.17,0.37
T4,6.4,0.16,0.36,0.14,0.14,0.06,0.16,7.6,4.56
T4,4.76,0.09,0.17,0.09,0.06,0.06,0.07,7.12,3.9
T5,4.42,0.02,0.1,0.22,0.21,0.01,0.06,1.2,0.62
T5,5.43,0.01,0.39,0.32,0.2,0.01,0.27,1.94,0.77
T5,1.38,0.01,0.03,0.1,0.06,0,0.18,1.05,0.56
T5,2.68,0.01,0.15,0.17,0.09,0.02,0.37,1.79,0.56
T5,4.49,0.03,0.05,0.04,0.01,0.01,0.03,2.01,0.02
T5,8.39,9.65,0.29,0.04,0.06,0.01,0.11,2.95,0.06
T5,4.56,2.92,0.06,0.01,0.01,0.01,0.11,3.2,0.02
T5,7.67,0.15,0.04,0.06,0.27,0.04,1.11,2.15,2.51
T5,5.52,0.03,0.04,0.43,0.16,0.03,0.67,1.62,1.66
T5,4.74,0.02,0.04,0.11,0.2,0.03,0.18,3.1,1.44
T6,1.85,0.42,1.14,0.8,0.31,0.03,1.17,2.04,2.1
T6,1.39,0.1,0.14,0.32,0.13,0.03,0.61,0.53,2.58
T6,1.49,0.34,0.13,0.44,0.18,0.01,0.47,1.05,1.71
T6,2.66,0.04,0.15,0.08,0.12,0.03,0.27,2.99,2.38
T6,2.11,0.06,0.27,0.08,0.37,0.06,0.19,1.14,1.9
T6,3.77,0.44,0.26,0.51,0.39,0.04,0.9,3.24,3.34
T6,3.67,0.24,0.06,0.11,0.23,0.1,0.8,2.71,2.21
T6,3.44,0.03,0.07,0.93,0.49,0.08,0.25,8.62,1.27
T6,4.62,0.26,0.21,0.77,0.3,0.09,0.44,1.63,1.65
T6,2.66,0.14,0.05,0.12,0.23,0.02,0.2,2.33,3.52
