nest,group,no.wrk,no.mls,no.brd,no.qcells
1,C,27,18,71,16
2,C,23,12,63,11
3,C,22,14,66,15
4,C,18,12,82,18
5,C,22,14,39,0
6,C,23,11,55,10
7,C,36,18,113,12
8,C,39,21,41,8
9,C,29,19,47,14
10,C,38,12,53,10
11,T1,50,24,49,5
12,T1,39,33,43,2
13,T1,38,27,38,5
14,T1,17,12,11,0
15,T1,20,12,33,0
16,T1,25,10,26,0
17,T1,16,11,64,12
18,T1,17,15,27,0
19,T1,28,11,36,8
20,T1,16,16,22,0
21,T2,21,11,76,12
22,T2,18,10,46,6
23,T2,17,20,50,4
24,T2,17,11,63,6
25,T2,17,12,18,0
26,T2,32,13,10,4
27,T2,34,11,7,0
28,T2,26,12,17,0
29,T2,30,17,21,0
30,T2,34,14,35,14
31,T3,28,10,69,18
32,T3,21,18,62,14
33,T3,34,10,24,17
34,T3,23,31,79,12
35,T3,27,20,66,21
36,T3,25,14,47,12
37,T3,14,16,19,0
38,T3,20,12,28,6
39,T3,18,14,62,15
40,T3,21,17,95,0
41,T4,23,12,25,8
42,T4,21,11,14,0
43,T4,32,14,37,2
44,T4,24,13,27,0
45,T4,29,11,36,3
46,T4,22,10,56,10
47,T4,23,12,24,0
48,T4,19,0,14,0
49,T4,23,13,37,4
50,T4,15,0,44,0
51,T5,28,21,52,17
52,T5,20,0,8,14
53,T5,32,16,26,3
54,T5,29,21,41,12
55,T5,21,0,67,9
56,T5,16,14,27,0
57,T5,28,12,64,7
58,T5,23,18,55,6
59,T5,22,13,28,0
60,T5,18,11,47,0
61,T6,20,17,47,0
62,T6,25,16,41,23
63,T6,22,0,46,17
64,T6,23,8,35,0
65,T6,26,11,73,26
66,T6,30,18,67,9
67,T6,14,0,17,0
68,T6,40,16,41,14
69,T6,19,19,58,0
70,T6,18,15,28,0
