group,nest,workers,week,weight
C,1,14,week1,22
C,1,14,week2,59
C,1,14,week3,86
C,1,14,week4,141
C,1,14,week5,183
C,1,14,week6,185
C,1,14,week7,173
C,1,14,week8,135
C,1,14,week9,75
C,2,10,week1,24
C,2,10,week2,46
C,2,10,week3,99
C,2,10,week4,125
C,2,10,week5,180
C,2,10,week6,174
C,2,10,week7,49
C,2,10,week8,117
C,2,10,week9,102
C,3,17,week1,21
C,3,17,week2,64
C,3,17,week3,78
C,3,17,week4,101
C,3,17,week5,156
C,3,17,week6,167
C,3,17,week7,100
C,3,17,week8,35
C,3,17,week9,32
C,4,16,week1,32
C,4,16,week2,64
C,4,16,week3,96
C,4,16,week4,109
C,4,16,week5,151
C,4,16,week6,136
C,4,16,week7,39
C,4,16,week8,60
C,4,16,week9,61
C,5,14,week1,29
C,5,14,week2,63
C,5,14,week3,81
C,5,14,week4,108
C,5,14,week5,163
C,5,14,week6,141
C,5,14,week7,127
C,5,14,week8,57
C,5,14,week9,35
C,6,20,week1,17
C,6,20,week2,63
C,6,20,week3,78
C,6,20,week4,118
C,6,20,week5,153
C,6,20,week6,137
C,6,20,week7,17
C,6,20,week8,18
C,6,20,week9,12
C,7,19,week1,22
C,7,19,week2,53
C,7,19,week3,94
C,7,19,week4,116
C,7,19,week5,157
C,7,19,week6,132
C,7,19,week7,129
C,7,19,week8,135
C,7,19,week9,80
C,8,15,week1,21
C,8,15,week2,30
C,8,15,week3,59
C,8,15,week4,104
C,8,15,week5,155
C,8,15,week6,140
C,8,15,week7,104
C,8,15,week8,58
C,8,15,week9,44
C,9,19,week1,33
C,9,19,week2,51
C,9,19,week3,72
C,9,19,week4,101
C,9,19,week5,119
C,9,19,week6,96
C,9,19,week7,125
C,9,19,week8,85
C,9,19,week9,15
C,10,13,week1,29
C,10,13,week2,61
C,10,13,week3,84
C,10,13,week4,106
C,10,13,week5,159
C,10,13,week6,146
C,10,13,week7,147
C,10,13,week8,111
C,10,13,week9,74
T1,11,12,week1,23
T1,11,12,week2,69
T1,11,12,week3,91
T1,11,12,week4,113
T1,11,12,week5,156
T1,11,12,week6,186
T1,11,12,week7,181
T1,11,12,week8,177
T1,11,12,week9,173
T1,12,13,week1,31
T1,12,13,week2,58
T1,12,13,week3,94
T1,12,13,week4,107
T1,12,13,week5,123
T1,12,13,week6,36
T1,12,13,week7,24
T1,12,13,week8,22
T1,12,13,week9,13
T1,13,17,week1,24
T1,13,17,week2,50
T1,13,17,week3,80
T1,13,17,week4,99
T1,13,17,week5,141
T1,13,17,week6,117
T1,13,17,week7,43
T1,13,17,week8,36
T1,13,17,week9,19
T1,14,14,week1,26
T1,14,14,week2,31
T1,14,14,week3,55
T1,14,14,week4,70
T1,14,14,week5,85
T1,14,14,week6,12
T1,14,14,week7,5
T1,14,14,week8,3
T1,14,14,week9,0
T1,15,16,week1,31
T1,15,16,week2,40
T1,15,16,week3,67
T1,15,16,week4,94
T1,15,16,week5,101
T1,15,16,week6,98
T1,15,16,week7,94
T1,15,16,week8,72
T1,15,16,week9,33
T1,16,17,week1,22
T1,16,17,week2,42
T1,16,17,week3,71
T1,16,17,week4,87
T1,16,17,week5,109
T1,16,17,week6,59
T1,16,17,week7,38
T1,16,17,week8,32
T1,16,17,week9,21
T1,17,18,week1,41
T1,17,18,week2,83
T1,17,18,week3,114
T1,17,18,week4,133
T1,17,18,week5,197
T1,17,18,week6,98
T1,17,18,week7,80
T1,17,18,week8,71
T1,17,18,week9,68
T1,18,15,week1,24
T1,18,15,week2,61
T1,18,15,week3,83
T1,18,15,week4,98
T1,18,15,week5,136
T1,18,15,week6,94
T1,18,15,week7,70
T1,18,15,week8,61
T1,18,15,week9,43
T1,19,14,week1,26
T1,19,14,week2,70
T1,19,14,week3,86
T1,19,14,week4,118
T1,19,14,week5,165
T1,19,14,week6,135
T1,19,14,week7,97
T1,19,14,week8,104
T1,19,14,week9,96
T1,20,10,week1,24
T1,20,10,week2,26
T1,20,10,week3,49
T1,20,10,week4,72
T1,20,10,week5,85
T1,20,10,week6,37
T1,20,10,week7,20
T1,20,10,week8,28
T1,20,10,week9,18
T2,21,19,week1,35
T2,21,19,week2,63
T2,21,19,week3,92
T2,21,19,week4,133
T2,21,19,week5,159
T2,21,19,week6,80
T2,21,19,week7,63
T2,21,19,week8,56
T2,21,19,week9,35
T2,22,19,week1,15
T2,22,19,week2,39
T2,22,19,week3,83
T2,22,19,week4,124
T2,22,19,week5,148
T2,22,19,week6,81
T2,22,19,week7,51
T2,22,19,week8,68
T2,22,19,week9,53
T2,23,16,week1,28
T2,23,16,week2,57
T2,23,16,week3,81
T2,23,16,week4,104
T2,23,16,week5,137
T2,23,16,week6,102
T2,23,16,week7,77
T2,23,16,week8,66
T2,23,16,week9,48
T2,24,17,week1,20
T2,24,17,week2,56
T2,24,17,week3,87
T2,24,17,week4,109
T2,24,17,week5,145
T2,24,17,week6,100
T2,24,17,week7,61
T2,24,17,week8,43
T2,24,17,week9,35
T2,25,19,week1,37
T2,25,19,week2,54
T2,25,19,week3,76
T2,25,19,week4,95
T2,25,19,week5,137
T2,25,19,week6,99
T2,25,19,week7,47
T2,25,19,week8,44
T2,25,19,week9,25
T2,26,20,week1,32
T2,26,20,week2,65
T2,26,20,week3,82
T2,26,20,week4,124
T2,26,20,week5,199
T2,26,20,week6,173
T2,26,20,week7,165
T2,26,20,week8,127
T2,26,20,week9,116
T2,27,13,week1,32
T2,27,13,week2,60
T2,27,13,week3,82
T2,27,13,week4,92
T2,27,13,week5,96
T2,27,13,week6,79
T2,27,13,week7,52
T2,27,13,week8,31
T2,27,13,week9,-
T2,28,12,week1,40
T2,28,12,week2,47
T2,28,12,week3,61
T2,28,12,week4,104
T2,28,12,week5,136
T2,28,12,week6,90
T2,28,12,week7,46
T2,28,12,week8,39
T2,28,12,week9,35
