nest,group,wweight,wwidth,mweight,mwidth
1,C,0.103,4.94,0.23,6.12
1,C,0.086,3.85,0.165,5.04
1,C,0.059,4.29,0.189,5.49
1,C,0.073,3.79,0.21,5.41
1,C,0.059,3.15,0.224,6.02
1,C,0.094,3.54,0.173,5.1
1,C,0.076,4.59,0.214,6.12
1,C,0.068,3.47,0.197,5.93
1,C,0.076,3.58,0.186,5.14
1,C,0.099,4.28,0.221,5.47
2,C,0.041,4.21,0.225,5.97
2,C,0.038,4.26,0.176,4.73
2,C,0.065,4.59,0.231,5.63
2,C,0.072,4.65,0.194,5.26
2,C,0.064,4.89,0.21,5.77
2,C,0.094,4.94,0.223,5.61
2,C,0.132,5.16,0.179,5.59
2,C,0.048,4.32,0.156,5.14
2,C,0.116,4.98,0.171,5.34
2,C,0.084,4.77,0.135,5.06
3,C,0.058,4.25,0.178,5.84
3,C,0.056,4.14,0.153,5.34
3,C,0.094,5.06,0.228,6.21
3,C,0.114,5.29,0.214,6.14
3,C,0.094,4.93,0.151,5.19
3,C,0.087,4.96,0.132,5.12
3,C,0.073,4.22,0.12,4.97
3,C,0.039,3.15,0.216,6.11
3,C,0.054,3.26,0.174,5.27
3,C,0.066,3.5,0.114,4.99
4,C,0.096,3.84,0.161,5.32
4,C,0.079,2.66,0.133,5.15
4,C,0.124,4.89,0.152,5.36
4,C,0.056,3.28,0.098,4.79
4,C,0.067,3.85,0.208,6.02
4,C,0.088,4.12,0.138,5.38
4,C,0.064,4.02,0.193,6.01
4,C,0.095,3.91,0.181,5.93
4,C,0.073,3.12,0.172,5.67
4,C,0.069,3.89,0.168,5.84
5,C,0.079,3.36,0.136,5.24
5,C,0.077,3.28,0.203,6.14
5,C,0.046,2.95,0.212,6.25
5,C,0.021,2.15,0.094,5.48
5,C,0.095,4.56,0.133,5.28
5,C,0.084,3.97,0.094,4.79
5,C,0.073,2.98,0.173,5.48
5,C,0.075,3.16,0.164,5.17
5,C,0.113,4.95,0.147,5.2
5,C,0.096,4.19,0.11,4.84
6,C,0.173,4.83,0.126,5.05
6,C,0.148,4.99,0.108,4.79
6,C,0.105,4.67,0.132,5.15
6,C,0.091,3.84,0.173,4.91
6,C,0.037,3.43,0.171,4.84
6,C,0.103,4.49,0.186,5.15
6,C,0.071,3.39,0.215,6.01
6,C,0.086,4.41,0.154,5.18
6,C,0.093,4.98,0.179,5.21
6,C,0.037,3.65,0.092,4.59
7,C,0.038,3.42,0.188,5.94
7,C,0.029,3.25,0.176,5.76
7,C,0.115,4.86,0.154,5.18
7,C,0.094,4.77,0.189,5.79
7,C,0.086,4.65,0.115,4.99
7,C,0.074,3.45,0.143,5.29
7,C,0.076,4.06,0.208,6.14
7,C,0.091,4.78,0.134,5.16
7,C,0.11,5.05,0.132,5.22
7,C,0.055,3.97,0.144,4.25
8,C,0.188,5.29,0.179,5.97
8,C,0.15,5.28,0.169,5.42
8,C,0.07,4.63,0.212,6.24
8,C,0.053,2.93,0.186,5.73
8,C,0.127,5.19,0.189,5.94
8,C,0.062,4.13,0.135,5.54
8,C,0.132,4.91,0.156,4.87
8,C,0.121,4.88,0.171,5.64
8,C,0.082,4.25,0.195,6.06
8,C,0.095,4.65,0.18,5.43
9,C,0.056,3.84,0.12,5.34
9,C,0.117,4.96,0.093,5.48
9,C,0.094,4.7,0.114,5.69
9,C,0.076,4.29,0.125,5.24
9,C,0.049,4.16,0.116,5.41
9,C,0.053,3.92,0.138,6.1
9,C,0.094,4.66,0.192,5.84
9,C,0.106,4.98,0.144,5.94
9,C,0.088,4.39,0.119,5.41
9,C,0.073,4.19,0.203,5.85
10,C,0.091,4.3,0.219,5.97
10,C,0.084,4.48,0.214,5.39
10,C,0.093,4.94,0.14,4.6
10,C,0.097,5.12,0.203,5.14
10,C,0.112,5.21,0.09,4.37
10,C,0.106,4.79,0.088,4.33
10,C,0.084,4.16,0.196,5.91
10,C,0.12,5.09,0.187,5.83
10,C,0.132,5.22,0.201,5.93
10,C,0.053,4.12,0.097,4.57
11,T1,0.092,3.81,0.198,6.05
11,T1,0.075,2.63,0.17,5.65
11,T1,0.123,4.8,0.103,4.88
11,T1,0.051,3.26,0.223,5.57
11,T1,0.069,3.42,0.189,6.12
11,T1,0.087,4.12,0.185,5.97
11,T1,0.056,2.98,0.202,6.04
11,T1,0.077,3.29,0.168,5.44
11,T1,0.08,3.87,0.179,5.58
11,T1,0.081,4.23,0.186,5.83
12,T1,0.123,4.84,0.212,5.74
12,T1,0.119,4.96,0.209,5.08
12,T1,0.121,4.83,0.235,4.86
12,T1,0.106,4.78,0.221,5.09
12,T1,0.127,4.68,0.194,5.53
12,T1,0.181,5.04,0.213,5.76
12,T1,0.081,4.29,0.146,4.83
12,T1,0.102,4.47,0.122,4.97
12,T1,0.076,3.98,0.127,4.8
12,T1,0.123,4.76,0.136,5.14
13,T1,0.121,4.62,0.103,4.99
13,T1,0.072,4.28,0.189,5.57
13,T1,0.074,4.29,0.214,6.03
13,T1,0.127,4.53,0.206,5.99
13,T1,0.088,3.85,0.184,5.4
13,T1,0.089,4.26,0.154,5.69
13,T1,0.087,4.12,0.206,5.75
13,T1,0.109,4.3,0.198,5.5
13,T1,0.112,4.26,0.187,5.36
13,T1,0.098,4.03,0.176,5.32
14,T1,0.094,3.99,0.178,5.28
14,T1,0.159,4.39,0.113,4.78
14,T1,0.158,4.46,0.22,5.98
14,T1,0.122,4.29,0.191,5.71
14,T1,0.165,4.99,0.125,5.23
14,T1,0.157,5.19,0.149,5.37
14,T1,0.057,3.6,0.221,5.88
14,T1,0.041,4.76,0.193,5.69
14,T1,0.178,5.7,0.105,4.93
14,T1,0.189,5.5,0.129,5.46
15,T1,0.084,3.89,0.093,4.86
15,T1,0.147,4.21,0.106,4.89
15,T1,0.113,4.7,0.166,5.31
15,T1,0.031,3.5,0.211,6.08
15,T1,0.026,3.21,0.149,5.39
15,T1,0.032,3.41,0.178,5.84
15,T1,0.047,3.28,0.214,6.05
15,T1,0.081,4.17,0.213,6.07
15,T1,0.087,4.09,0.091,4.93
15,T1,0.048,3.76,0.115,5.1
16,T1,0.103,4.97,0.124,5.61
16,T1,0.089,3.81,0.177,5.73
16,T1,0.059,4.22,0.221,5.98
16,T1,0.074,3.75,0.086,4.68
16,T1,0.056,3.1,0.159,5.8
16,T1,0.093,3.59,0.188,5.89
16,T1,0.07,4.63,0.2,6.03
16,T1,0.064,3.38,0.216,5.99
16,T1,0.079,3.43,0.074,4.72
16,T1,0.099,4.04,0.183,5.91
17,T1,0.034,2.87,0.191,5.12
17,T1,0.085,4.23,0.172,5.81
17,T1,0.073,4.12,0.223,6.09
17,T1,0.056,3.52,0.114,5.22
17,T1,0.078,4.09,0.119,5.38
17,T1,0.035,3.14,0.21,5.94
17,T1,0.059,4.02,0.177,5.76
17,T1,0.063,3.96,0.197,5.94
17,T1,0.087,4.15,0.194,5.88
17,T1,0.072,4.1,0.186,5.73
18,T1,0.071,3.19,0.193,5.79
18,T1,0.021,2.83,0.204,5.75
18,T1,0.094,4.36,0.191,5.86
18,T1,0.083,3.23,0.186,5.73
18,T1,0.072,3.44,0.191,5.87
18,T1,0.09,4.15,0.164,5.39
18,T1,0.076,4.69,0.136,5.61
18,T1,0.061,3.94,0.208,5.92
18,T1,0.043,3.36,0.193,5.84
18,T1,0.088,4.21,0.12,5.32
19,T1,0.042,3.21,0.184,5.83
19,T1,0.091,3.97,0.204,5.75
19,T1,0.083,3.95,0.082,4.93
19,T1,0.107,4.21,0.139,5.71
19,T1,0.112,4.46,0.146,5.84
19,T1,0.096,4.58,0.166,5.88
19,T1,0.126,5.01,0.179,5.73
19,T1,0.042,3.17,0.191,5.82
19,T1,0.079,3.86,0.193,5.97
19,T1,0.034,3.1,0.117,4.86
20,T1,0.064,4.02,0.132,5.26
20,T1,0.036,3.63,0.134,4.99
20,T1,0.132,4.51,0.161,5.13
20,T1,0.126,4.09,0.117,5.28
20,T1,0.041,3.57,0.148,4.73
20,T1,0.107,4.23,0.152,4.96
20,T1,0.099,4.11,0.118,5.31
20,T1,0.043,3.73,0.235,6.11
20,T1,0.057,3.81,0.178,5.48
20,T1,0.081,4.16,0.156,5.23
21,T2,0.07,3.26,0.179,5.68
21,T2,0.063,3.19,0.147,4.81
21,T2,0.09,4.27,0.132,5.31
21,T2,0.082,3.83,0.216,6.14
21,T2,0.101,4.12,0.189,5.63
21,T2,0.068,3.46,0.116,4.93
21,T2,0.079,3.85,0.093,4.38
21,T2,0.086,4.15,0.096,4.55
21,T2,0.062,3.2,0.154,4.9
21,T2,0.071,3.05,0.168,5.72
22,T2,0.073,3.56,0.073,4.44
22,T2,0.084,3.53,0.105,5.1
22,T2,0.116,4.67,0.177,5.26
